소재지전체주소 상호명,동
서울특별시 종로구 128-17번지 (지상1층),당주동
서울특별시 종로구 184,명륜2가
서울특별시 종로구 132-1,종로3가
서울특별시 종로구 11-02,명륜4가
서울특별시 종로구 120번지,관수동
서울특별시 종로구 208-0,인사동
서울특별시 종로구 198 금강빌딩,낙원동
서울특별시 종로구 201-4,숭인동
서울특별시 종로구 19-6번지,관철동
서울특별시 종로구 13-9번지,관철동
서울특별시 종로구 687-4번지,창신동
서울특별시 종로구 1-65번지,동숭동
서울특별시 종로구 67-2번지,무악동
서울특별시 종로구 60-5번지,송월동
서울특별시 종로구 1-58번지,동숭동
서울특별시 종로구 143-2번지,혜화동
서울특별시 종로구 106-0번지,익선동
서울특별시 종로구 37번지 3층,인사동
서울특별시 종로구 325번지,평창동
서울특별시 종로구 1-35번지 지상4층,동숭동
서울특별시 종로구 21-18번지 지상1층,명륜2가
서울특별시 종로구 160-0 변호사회관 지하동 1-33호,당주동
서울특별시 종로구 159번지 지상1층,낙원동
서울특별시 종로구 75번지,교북동
서울특별시 종로구 39-2번지 지상1층,체부동
서울특별시 종로구 14-3번지,관철동
서울특별시 종로구 107번지 (지상1층),돈의동
서울특별시 종로구 153번지,돈의동
서울특별시 종로구 227번지,낙원동
서울특별시 종로구 59-2번지,종로4가
서울특별시 종로구 136번지,창성동
서울특별시 종로구 Jul-43 지상2층,관철동
서울특별시 종로구 173-1번지 1~2층,세종로
서울특별시 종로구 167-3번지,혜화동
서울특별시 종로구 313-14번지,숭인동
서울특별시 종로구 168-0번지,당주동
서울특별시 종로구 561-2번지,창신동
서울특별시 종로구 18-9번지,관철동
서울특별시 종로구 156-0번지,신문로1가
서울특별시 종로구 304-15번지,사직동
서울특별시 종로구 697-3번지 동원빌딩 1층,창신동
서울특별시 종로구 24번지 르메이에르종로타운1,종로1가
서울특별시 종로구 24번지 르메이에르종로타운1,종로1가
서울특별시 종로구 51번지,돈의동
서울특별시 종로구 16-9번지,혜화동
서울특별시 종로구 57번지 지상1층,운니동
서울특별시 종로구 11-1번지,내자동
서울특별시 종로구 148-1번지 지상1층,명륜3가
서울특별시 종로구 217-0번지,효제동
서울특별시 종로구 76 롯데캐슬상가 116호,숭인동
서울특별시 종로구 464-6번지 2층,창신동
서울특별시 종로구 561-1,창신동
서울특별시 종로구 18-9번지 18-8,관철동
서울특별시 종로구 147-2 지하1층,통인동
서울특별시 종로구 12-05 지하1층,신문로2가
서울특별시 종로구 66-0,통의동
서울특별시 종로구 209-0번지,인사동
서울특별시 종로구 192번지 지상1~2층,낙원동
서울특별시 종로구 43-6번지,관철동
서울특별시 종로구 102-0번지,인사동
서울특별시 종로구 123-4,관훈동
서울특별시 종로구 88번지,재동
서울특별시 종로구 72-0번지 지상2층,인사동
서울특별시 종로구 245-0번지,종로5가
서울특별시 종로구 534,창신동
서울특별시 종로구 1-55번지 2층,동숭동
서울특별시 종로구 Jan-46,명륜4가
서울특별시 종로구 111-7 지상1층,인의동
서울특별시 종로구 1-27번지 1.2층,동숭동
서울특별시 종로구 116번지 1층,종로5가
서울특별시 종로구 24 B113-5,종로1가
서울특별시 종로구 330번지 1층,효제동
서울특별시 종로구 766번지 종로청계힐스테이트,숭인동
서울특별시 종로구 67-3번지 2층,통의동
서울특별시 종로구 183-1번지 1층,숭인동
서울특별시 종로구 635-8번지,창신동
서울특별시 종로구 24-1번지 지상2층,명륜2가
서울특별시 종로구 166-57번지 1층,익선동
서울특별시 종로구 19-20번지 3층,관철동
서울특별시 종로구 178-2번지,내자동
서울특별시 종로구 318-1번지 지상1층,효제동
서울특별시 종로구 308,효제동
서울특별시 종로구 113-1 지상1층,명륜4가
서울특별시 종로구 31번지 2층,신문로1가
